scenario,window,mean,std,ci95,n
Baseline,3,0.686085,0.007522484629429258,0.0010489231038858491,200
Baseline,6,0.79656,0.005904777726553309,0.000823352666811929,200
Baseline,9,0.8201550000000001,0.005664889672359018,0.0007899030640827701,200
Baseline,tier_low_3yr,0.6374358321036753,0.01422860317357717,0.0019840134397085462,200
Baseline,tier_high_3yr,0.7450649060932668,0.01234594129418292,0.0017214981087531128,200
Baseline,tier_spread_3yr,0.10762907398959133,0.018659752134249037,0.0026018856921057086,200
SMI Low  (a=0.00),3,0.53141,0.006943478955106012,0.0009681874880624989,200
SMI Low  (a=0.00),6,0.669125,0.006326086863140599,0.0008820993321777493,200
SMI Low  (a=0.00),9,0.7006349999999999,0.006344428658279636,0.0008846568824601135,200
SMI Low  (a=0.00),tier_low_3yr,0.44527911284098354,0.012888906495634676,0.0017972082992639294,200
SMI Low  (a=0.00),tier_high_3yr,0.6387113549823332,0.013274968942743364,0.0018510402231911355,200
SMI Low  (a=0.00),tier_spread_3yr,0.19343224214134971,0.016660389962581425,0.0023230978609291553,200
RCS Low  (g=0.00),3,0.6693700000000001,0.007047205119762023,0.0009826508968888209,200
RCS Low  (g=0.00),6,0.7757200000000001,0.0060804276165414605,0.0008478450037032254,200
RCS Low  (g=0.00),9,0.79955,0.005581890360800722,0.0007783297741674244,200
RCS Low  (g=0.00),tier_low_3yr,0.6689841837013841,0.012987007902044052,0.001810887400887338,200
RCS Low  (g=0.00),tier_high_3yr,0.6660328713032331,0.013540386928472013,0.0018880496783289316,200
RCS Low  (g=0.00),tier_spread_3yr,-0.0029513123981511624,0.018775812978558536,0.0026180690287357982,200
RED3 Low (dr3=0.50),3,0.68488,0.006573857315153679,0.0009166480437244658,200
RED3 Low (dr3=0.50),6,0.7714,0.00601165534607566,0.0008382555094135258,200
RED3 Low (dr3=0.50),9,0.79911,0.0056433943686402125,0.0007869057936586485,200
RED3 Low (dr3=0.50),tier_low_3yr,0.636393303483772,0.013010378530986433,0.0018141461636309803,200
RED3 Low (dr3=0.50),tier_high_3yr,0.7436946232408767,0.011387554537821662,0.0015878622077540282,200
RED3 Low (dr3=0.50),tier_spread_3yr,0.10730131975710462,0.016887756492866723,0.0023548014825934115,200
RED6 Low (dr6=0.40),3,0.6864750000000001,0.006757912029613842,0.0009423123357618463,200
RED6 Low (dr6=0.40),6,0.7959800000000001,0.005538916861625568,0.000772337618867659,200
RED6 Low (dr6=0.40),9,0.8088599999999999,0.005489116504502308,0.0007653935375246417,200
RED6 Low (dr6=0.40),tier_low_3yr,0.6384444160260268,0.013519738885978617,0.0018851705486413004,200
RED6 Low (dr6=0.40),tier_high_3yr,0.7449897851839162,0.011212891338280299,0.0015635074533845985,200
RED6 Low (dr6=0.40),tier_spread_3yr,0.10654536915788951,0.017764967774241726,0.0024771184065022827,200
SMD3 Low (ds3=0.50),3,0.684745,0.006512294142619754,0.0009080637744038325,200
SMD3 Low (ds3=0.50),6,0.79018,0.005650451309408839,0.0007878898020786866,200
SMD3 Low (ds3=0.50),9,0.81403,0.005458855191338158,0.0007611739489052616,200
SMD3 Low (ds3=0.50),tier_low_3yr,0.6362766542156807,0.013170954484892751,0.0018365366152275063,200
SMD3 Low (ds3=0.50),tier_high_3yr,0.7433392550722079,0.011542772902900483,0.0016095056058198236,200
